,$,integer_literal,float_literal,string_literal,true,false,;,arith_stmt_lit,?,:,relop_lt,relop_gt,relop_le,relop_ge,relop_eq,relop_ne,op_not,logical_and,logical_or,id,(,),[,],=,",",+,-,*,/,%,{,},print,scan,if,else,return,while,until,int,float,boolean,string
S,S ::= S’ $,S ::= S’ $,S ::= S’ $,S ::= S’ $,S ::= S’ $,S ::= S’ $,,S ::= S’ $,,,,,,,,,,,,S ::= S’ $,S ::= S’ $,,,,,,,,,,,,,S ::= S’ $,S ::= S’ $,S ::= S’ $,,S ::= S’ $,S ::= S’ $,S ::= S’ $,S ::= S’ $,S ::= S’ $,S ::= S’ $,S ::= S’ $
S’,S’ ::= ε,S’ ::= stmt S’,S’ ::= stmt S’,S’ ::= stmt S’,S’ ::= stmt S’,S’ ::= stmt S’,,S’ ::= stmt S’,,,,,,,,,,,,S’ ::= stmt S’,S’ ::= stmt S’,,,,,,,,,,,,S’ ::= ε,S’ ::= stmt S’,S’ ::= stmt S’,S’ ::= stmt S’,,S’ ::= stmt S’,S’ ::= stmt S’,S’ ::= stmt S’,S’ ::= stmt S’,S’ ::= stmt S’,S’ ::= stmt S’,S’ ::= stmt S’
literal,,literal ::= integer_literal,literal ::= float_literal,literal ::= string_literal,literal ::= true,literal ::= false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stmt,,stmt ::= literal ;,stmt ::= literal ;,stmt ::= literal ;,stmt ::= literal ;,stmt ::= literal ;,,stmt ::= arith_stmt_lit ;,,,,,,,,,,,,stmt ::= id_stmt ;,stmt ::= id_stmt ;,,,,,,,,,,,,,stmt ::= print_stmt ;,stmt ::= scan_stmt ;,stmt ::= if_stmt,,stmt ::= return_stmt ;,stmt ::= loop_stmt,stmt ::= loop_stmt,stmt ::= idtype_stmt,stmt ::= idtype_stmt,stmt ::= idtype_stmt,stmt ::= idtype_stmt
cond,,cond ::= literal cond’,cond ::= literal cond’,cond ::= literal cond’,cond ::= literal cond’,cond ::= literal cond’,,,,,,,,,,,cond ::= relop1 cond,,,cond ::= id_stmt cond’,cond ::= id_stmt cond’,,,,,,,,,,,,,cond ::= print_stmt cond’,cond ::= scan_stmt cond’,,,,,,,,,
cond’,,,,,,,cond’ ::= ε,,cond’ ::= ? cond : cond,cond’ ::= ε,,,,,,,,,,,,cond’ ::= ε,,,,,,,,,,,,,,,,,,,,,,
op,,,,,,,,,,,op ::= relop_lt,op ::= relop_gt,op ::= relop_le,op ::= relop_ge,op ::= relop_eq,op ::= relop_ne,,op ::= logical_and,op ::= logical_or,,,,,,,,op ::= +,op ::= -,op ::= *,op ::= /,op ::= %,,,,,,,,,,,,,
relop1,,,,,,,,,,,,,,,,,relop1 ::= op_not,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_stmt,,,,,,,,,,,,,,,,,,,,id_stmt ::= id assfunarth,id_stmt ::= ( id_stmt ) assfunarth,,,,,,,,,,,,,,,,,,,,,,,
assfunarth,,,,,,,assfunarth ::= assarth,,assfunarth ::= assarth,assfunarth ::= assarth,assfunarth ::= assarth,assfunarth ::= assarth,assfunarth ::= assarth,assfunarth ::= assarth,assfunarth ::= assarth,assfunarth ::= assarth,,assfunarth ::= assarth,assfunarth ::= assarth,,assfunarth ::= funuse_stmt,assfunarth ::= assarth,assfunarth ::= assarth,,assfunarth ::= assarth,,assfunarth ::= assarth,assfunarth ::= assarth,assfunarth ::= assarth,assfunarth ::= assarth,assfunarth ::= assarth,,,,,,,,,,,,,
